,num_reviews,orig_price,been_sale,rating_val,num_tags,num_genres,year_released
262,11177,59.99,0,8.0,20.0,1.0,2020.0
263,62199,19.99,0,9.0,20.0,4.0,2017.0
266,236258,29.99,0,7.0,20.0,2.0,2015.0
267,21092,14.99,0,9.0,20.0,3.0,2016.0
271,70361,59.99,0,8.0,20.0,7.0,2019.0
272,74238,19.99,0,8.0,20.0,3.0,2017.0
273,13761,19.99,0,8.0,20.0,6.0,2017.0
275,101449,19.99,0,8.0,20.0,4.0,2019.0
277,11053,29.99,0,8.0,20.0,7.0,2019.0
278,90027,24.99,0,9.0,20.0,2.0,2019.0
279,18424,14.99,0,8.0,15.0,4.0,2017.0
280,11278,39.99,0,8.0,20.0,2.0,2017.0
283,13863,19.99,0,8.0,20.0,5.0,2020.0
285,15870,5.99,0,8.0,9.0,3.0,2019.0
286,1787,9.99,0,8.0,14.0,6.0,2015.0
288,68,17.99,1,8.0,20.0,3.0,2021.0
289,2046,9.99,0,8.0,20.0,4.0,2021.0
290,807,19.99,1,5.0,12.0,3.0,2018.0
291,16038,29.99,1,8.0,20.0,6.0,2020.0
292,2286,39.99,0,8.0,20.0,6.0,2021.0
293,3264,11.99,0,7.0,20.0,6.0,2020.0
295,41269,9.99,0,7.0,20.0,6.0,2017.0
296,494,9.99,0,7.0,20.0,3.0,2020.0
297,19286,29.99,0,8.0,20.0,4.0,2020.0
298,414244,19.99,1,9.0,20.0,3.0,2012.0
299,150489,9.99,0,9.0,20.0,2.0,2015.0
300,21911,29.99,0,8.0,20.0,5.0,2020.0
302,88979,39.99,0,8.0,20.0,2.0,2015.0
303,33715,19.99,0,8.0,20.0,6.0,2015.0
305,4643,29.99,0,9.0,20.0,0.0,2019.0
306,4689,59.99,0,8.0,18.0,2.0,2019.0
308,35848,19.99,0,8.0,20.0,4.0,2017.0
309,233948,39.99,0,8.0,20.0,3.0,2015.0
310,15285,29.99,0,8.0,20.0,6.0,2018.0
311,17321,24.99,0,9.0,20.0,2.0,2020.0
312,88433,39.99,0,8.0,20.0,4.0,2017.0
314,41922,19.99,0,8.0,20.0,1.0,2009.0
316,1616,29.99,0,8.0,17.0,0.0,2020.0
317,52291,39.99,0,8.0,20.0,2.0,2020.0
319,1174,49.99,0,8.0,19.0,1.0,2021.0
321,16568,9.99,0,8.0,10.0,3.0,2018.0
322,78145,14.99,0,9.0,20.0,6.0,2012.0
324,11827,24.99,0,5.0,20.0,5.0,2016.0
326,1825,19.99,0,8.0,20.0,9.0,2021.0
327,73991,59.99,0,8.0,20.0,3.0,2020.0
328,24378,39.99,0,8.0,20.0,1.0,2010.0
329,20789,39.99,0,8.0,20.0,3.0,2020.0
330,1892,59.99,1,8.0,15.0,5.0,2020.0
331,7545,14.99,0,5.0,13.0,1.0,2017.0
332,9290,19.99,1,8.0,20.0,5.0,2020.0
335,5643,19.99,0,9.0,20.0,2.0,2020.0
336,18133,29.99,0,9.0,20.0,2.0,2017.0
337,4718,29.99,0,8.0,20.0,4.0,2018.0
338,100910,29.99,0,8.0,20.0,2.0,2016.0
339,1774,39.99,0,7.0,20.0,5.0,2019.0
340,72683,39.99,0,8.0,20.0,3.0,2019.0
342,652,24.99,0,8.0,12.0,0.0,2018.0
343,36385,29.99,0,9.0,20.0,2.0,2017.0
344,9564,19.99,1,8.0,20.0,3.0,2014.0
345,14866,49.99,1,8.0,8.0,3.0,2020.0
346,1388,24.99,0,8.0,15.0,4.0,2014.0
347,102771,14.99,0,8.0,20.0,6.0,2016.0
349,1411,24.99,0,9.0,14.0,4.0,2015.0
350,73,29.99,1,7.0,15.0,6.0,2021.0
351,5662,29.99,0,8.0,20.0,5.0,2018.0
352,32633,9.99,0,9.0,20.0,1.0,2008.0
353,7483,24.99,0,8.0,20.0,5.0,2019.0
355,878,39.99,0,7.0,8.0,2.0,2021.0
357,64248,24.99,0,9.0,20.0,3.0,2019.0
358,124210,9.99,0,9.0,20.0,3.0,2010.0
362,60268,19.99,0,9.0,20.0,3.0,2020.0
364,37942,59.99,0,8.0,20.0,2.0,2018.0
365,43520,24.99,0,8.0,20.0,6.0,2017.0
366,171,5.99,0,7.0,8.0,3.0,2019.0
367,1320,59.99,0,5.0,15.0,0.0,2020.0
369,1123,19.99,1,8.0,18.0,1.0,2008.0
373,4420,39.99,0,7.0,20.0,4.0,2020.0
376,32171,19.99,0,8.0,20.0,4.0,2019.0
377,18750,24.99,0,7.0,20.0,2.0,2019.0
379,46538,39.99,0,8.0,20.0,3.0,2017.0
380,4331,19.99,1,8.0,20.0,2.0,2009.0
381,10956,19.99,0,8.0,20.0,3.0,2020.0
382,63608,24.99,0,8.0,20.0,4.0,2016.0
383,6950,15.99,0,7.0,20.0,4.0,2017.0
384,3712,49.99,0,8.0,20.0,2.0,2019.0
385,29063,19.99,0,8.0,20.0,2.0,2017.0
386,12519,12.99,0,8.0,20.0,2.0,2015.0
387,28,7.99,1,6.0,20.0,3.0,2021.0
388,1311,24.99,0,8.0,8.0,0.0,2019.0
