title,link,release_date,been_sale,orig_price,num_reviews,review_rating,num_languages,tags,num_tags,genres,num_genres,publisher,year_released,languages_filled,top_pubs,rating_val,Singleplayer_tag,Indie_tag,Action_tag,Adventure_tag,Casual_tag,Strategy_tag,Multiplayer_tag,RPG_tag,Simulation_tag,Atmospheric_tag,Horror_tag,2D_tag,Soundtrack_tag,Great_tag,Story_tag,Rich_tag,World_tag,Shooter_tag,Puzzle_tag,TurnBased_tag,Open_tag,FirstPerson_tag,Survival_tag,Fantasy_tag,Funny_tag,Coop_tag,Platformer_tag,Early_tag,Access_tag,Sim_tag,Indie_genre,Action_genre,Adventure_genre,Casual_genre,Simulation_genre,Strategy_genre,RPG_genre,_genre,Early_genre,Access_genre,Games_genre,Sports_genre,Racing_genre,Studios_genre,Entertainment_genre,Massively_genre,Multiplayer_genre,Studio_genre,Interactive_genre,Inc_genre,Software_genre,Game_genre,Utilities_genre,Feral_genre,Ltd_genre,Mac_genre,Design_genre,Illustration_genre,Sokpop_genre,Collective_genre,Activision,BANDAI NAMCO Entertainment,Capcom,Devolver Digital,Disney,Electronic Arts,Paradox Interactive,SEGA,Sokpop Collective,Square Enix,THQ Nordic,Ubisoft,Winged Cloud,other,tinyBuild
Nameless ~The one thing you must recall~,https://store.steampowered.com/app/337930/Nameless_The_one_thing_you_must_recall/?snr=1_7_7_7000_150_136,2014-12-24 00:00:00,0,29.99,638,Very Positive,,"['Otome', 'Dating Sim', 'Female Protagonist', 'Visual Novel', 'Simulation', 'Anime', 'Romance', 'Story Rich', 'Psychological Horror', 'Horror']",10.0,"['Simulation', 'Sujin Ri', 'Yunjeong Yun', 'Hyein Go', 'Minsu Ock', 'Marcos Arroyo', 'Seona Lee']",7.0,Cheritz,2014,11.225262197902417,other,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Inunaki Tunnel | 犬鳴トンネル,https://store.steampowered.com/app/1185160/Inunaki_Tunnel/?snr=1_7_7_7000_150_136,2019-11-19 00:00:00,0,2.99,213,Very Positive,,"['Horror', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Action', 'Strategy', 'Psychological Horror', 'Walking Simulator', 'First-Person', 'Exploration', 'Short', 'Atmospheric', 'Singleplayer', 'Narration', 'Psychological', 'Surreal', 'Story Rich', 'Anime', 'Mystery']",20.0,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy', ""Chilla's Art""]",7.0,Chilla's Art,2019,11.225262197902417,other,9,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Learning Factory,https://store.steampowered.com/app/1150090/Learning_Factory/?snr=1_7_7_7000_150_136,2021-02-18 00:00:00,0,14.99,82,Very Positive,,"['Indie', 'Simulation', 'Strategy', 'Automation', 'Logic', 'Resource Management', 'Programming', 'Science', 'Base Building', 'Building', 'Crafting', 'Sandbox', 'Management', 'Education', 'Early Access', 'Funny']",16.0,"['Indie', 'Simulation', 'Strategy', 'Early Access', 'Luden.io']",5.0,Nival,2021,11.225262197902417,other,9,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Unity of Command II,https://store.steampowered.com/app/809230/Unity_of_Command_II/?snr=1_7_7_7000_150_136,2019-11-12 00:00:00,0,29.99,924,Very Positive,,"['Strategy', 'Indie', 'Simulation', 'World War II', 'Turn-Based', 'Grand Strategy', 'Wargame', 'Turn-Based Strategy', 'Military', 'War', 'Historical', 'Hex Grid', 'Turn-Based Combat', 'Singleplayer', 'Turn-Based Tactics', 'Alternate History', 'Tactical', 'Action']",18.0,"['Indie', 'Simulation', 'Strategy', '2x2 Games', 'Croteam']",5.0,2x2 Games,2019,11.225262197902417,other,9,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Desktop Audio Visualizer,https://store.steampowered.com/app/691190/Desktop_Audio_Visualizer/?snr=1_7_7_7000_150_136,2018-12-17 00:00:00,0,2.99,45,Mixed,,"['Utilities', 'Animation & Modeling', 'Audio Production']",3.0,"['Animation & Modeling', 'Audio Production', 'Utilities', 'RainySoft']",4.0,RainySoft,2018,11.225262197902417,other,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Bunker,https://store.steampowered.com/app/481110/The_Bunker/?snr=1_7_7_7000_150_136,2016-09-20 00:00:00,0,12.99,1041,Mostly Positive,10.0,"['Adventure', 'Indie', 'FMV', 'Psychological Horror', 'Story Rich', 'Atmospheric', 'Horror', 'Movie', 'Great Soundtrack', 'Mystery', 'Post-apocalyptic', 'Thriller', 'Hidden Object']",13.0,"['Adventure', 'Indie', 'Splendy Interactive']",3.0,Wales Interactive,2016,10.0,other,7,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Portal Knights,https://store.steampowered.com/app/374040/Portal_Knights/?snr=1_7_7_7000_150_136,2017-05-18 00:00:00,0,19.99,18538,Very Positive,17.0,"['Adventure', 'Sandbox', 'Multiplayer', 'RPG', 'Building', 'Crafting', 'Survival', 'Action', 'Co-op', 'Exploration', 'Singleplayer', 'Fantasy', 'Early Access', 'Voxel', 'Casual', 'Cute', 'Dungeon Crawler', 'Third Person', 'Great Soundtrack', 'Local Co-Op']",20.0,"['Action', 'Adventure', 'RPG', 'Keen Games']",4.0,505 Games,2017,17.0,other,9,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Halo: Spartan Assault,https://store.steampowered.com/app/277430/Halo_Spartan_Assault/?snr=1_7_7_7000_150_136,2014-04-04 00:00:00,0,2.99,3916,Very Positive,11.0,"['Action', 'Top-Down Shooter', 'Sci-fi', 'Singleplayer', 'Top-Down', 'Shooter', 'Twin Stick Shooter', 'Strategy', 'Touch-Friendly', 'Arcade', 'Adventure', 'Great Soundtrack', 'Futuristic', 'Aliens', 'Multiplayer', 'Space', 'Isometric', 'Third Person', 'Third-Person Shooter', 'RTS']",20.0,"['Action', 'Vanguard Games']",2.0,Xbox Game Studios,2014,11.0,other,9,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100 hidden snails 2,https://store.steampowered.com/app/1549030/100_hidden_snails_2/?snr=1_7_7_7000_150_136,2021-02-26 00:00:00,1,1.99,30,Positive,,"['Casual', 'Hidden Object', 'Creature Collector', 'Family Friendly', 'Surreal', 'Adventure', 'Hand-drawn', 'Colorful', 'Point & Click', 'Puzzle', 'Side Scroller', 'Exploration', '2D', 'Abstract', 'Cute', 'Minimalist', 'Stylized', 'Relaxing', 'Supernatural', 'Singleplayer']",20.0,"['Adventure', 'Casual', 'Indie', 'Anatoliy Loginovskikh']",4.0,Anatoliy Loginovskikh,2021,11.225262197902417,other,8,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Nancy Drew®: The Shattered Medallion,https://store.steampowered.com/app/572720/Nancy_Drew_The_Shattered_Medallion/?snr=1_7_7_7000_150_137,2017-03-06 00:00:00,0,19.99,28,Mixed,,"['Adventure', 'Puzzle', 'Great Soundtrack', 'Funny', 'Classic', 'Point & Click', 'Story Rich', 'Drama', 'Mouse only', 'Detective', '2.5D', 'Female Protagonist', 'Atmospheric', 'Exploration', 'Casual', '2D', 'Based On A Novel', 'Visual Novel', 'Linear', 'Cult Classic']",20.0,['Adventure'],1.0,HeR Interactive,2017,11.225262197902417,other,6,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
