,title,num_reviews,release_date,orig_price,been_sale,review_rating,rating_val,num_languages,tags,num_tags,genres,num_genres,publisher,year_released,languages_filled,top_pubs,BANDAI NAMCO Entertainment,Bethesda Softworks,Devolver Digital,Disney,Electronic Arts,Kagura Games,Nightdive Studios,Paradox Interactive,SEGA,Square Enix,THQ Nordic,Ubisoft,Xbox Game Studios,other,Singleplayer_tag,Indie_tag,Action_tag,Adventure_tag,Multiplayer_tag,Strategy_tag,RPG_tag,Casual_tag,Simulation_tag,Atmospheric_tag,Horror_tag,2D_tag,Soundtrack_tag,Great_tag,Story_tag,Rich_tag,World_tag,Shooter_tag,Puzzle_tag,TurnBased_tag,Open_tag,FirstPerson_tag,Survival_tag,Funny_tag,Coop_tag,Fantasy_tag,Early_tag,Access_tag,Platformer_tag,Local_tag,Singleplayer_genre,Indie_genre,Action_genre,Adventure_genre,Multiplayer_genre,Strategy_genre,RPG_genre,Casual_genre,Simulation_genre,Atmospheric_genre,Horror_genre,2D_genre,Soundtrack_genre,Great_genre,Story_genre,Rich_genre,World_genre,Shooter_genre,Puzzle_genre,TurnBased_genre,Open_genre,FirstPerson_genre,Survival_genre,Funny_genre,Coop_genre,Fantasy_genre,Early_genre,Access_genre,Platformer_genre,Local_genre
286,Call of Duty®: Modern Warfare® 3,28264,2011-11-08,39.99,0,Very Positive,8.0,,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'First-Person', 'War', 'Singleplayer', 'Online Co-Op', 'Military', 'Co-op', 'Casual', 'Story Rich', 'Survival', 'Controller', 'Linear', 'Adventure', 'Point & Click', 'Zombies', 'Dog', 'Family Friendly']",20.0,"['Action', 'Infinity Ward']",2.0,Activision,2011,10.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,EA SPORTS™ FIFA 21,28109,2020-10-09,59.99,0,Mostly Positive,7.0,21.0,"['Sports', 'Soccer', 'Football', 'PvP', 'Competitive', 'eSports', 'Multiplayer', 'Simulation', 'Controller', 'Local Multiplayer', 'Realistic', 'Online Co-Op', 'Singleplayer', 'Local Co-Op', 'Modern', 'Co-op', 'Casual', 'Runner', 'Great Soundtrack', 'Souls-like']",20.0,"['Simulation', 'Sports', 'Electronic Arts']",3.0,Electronic Arts,2020,21.0,Electronic Arts,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,Rocksmith® 2014 Edition - Remastered,16476,2016-10-04,29.99,0,Very Positive,8.0,6.0,"['Music', 'Education', 'Simulation', 'Rhythm', 'Great Soundtrack', 'Casual', 'Local Co-Op', 'Singleplayer', 'Difficult', 'Co-op', 'Moddable']",11.0,"['Casual', 'Simulation']",2.0,Ubisoft,2016,6.0,Ubisoft,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,Yakuza 6: The Song of Life,623,2021-03-25,19.99,0,Overwhelmingly Positive,9.0,,"['Action', 'Adventure', 'RPG', 'Open World', 'Action RPG', ""Beat 'em up"", 'JRPG', 'Third Person', 'Sexual Content', 'Comedy', 'Crime', 'Anime', 'Violent', 'Drama', 'Story Rich', 'Funny', 'Singleplayer', 'Combat', 'Great Soundtrack']",19.0,"['Action', 'Adventure', 'Ryu Ga Gotoku Studio']",3.0,SEGA,2021,10.0,SEGA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,PULSAR: Lost Colony,3364,2015-09-15,24.99,0,Very Positive,8.0,,"['Space', 'Co-op', 'Adventure', 'Open World', 'Early Access', 'Action', 'Multiplayer', 'Space Sim', 'Sci-fi', 'Indie', 'Online Co-Op', 'First-Person', 'Singleplayer', 'VR', 'FPS', 'Colorful', 'Aliens', 'Futuristic', 'Robots', '6DOF']",20.0,[],0.0,Leafy Games,2015,10.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,Deadside,18224,2020-04-14,19.99,0,Very Positive,8.0,,"['Survival', 'Open World', 'Massively Multiplayer', 'Multiplayer', 'Action', 'Adventure', 'Open World Survival Craft', 'Crafting', 'Post-apocalyptic', 'Base Building', 'Indie', 'Early Access', 'Shooter', 'PvP', 'Violent', 'Gore', 'Realistic', 'FPS', 'Singleplayer', 'First-Person']",20.0,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'Early Access']",5.0,Bad Pixel,2020,10.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
292,Skul: The Hero Slayer,19759,2021-01-20,19.99,0,Very Positive,8.0,11.0,"['Indie', 'Action', 'Action Roguelike', 'Pixel Graphics', 'Roguelite', '2D', 'Roguelike', 'Singleplayer', 'Platformer', 'Adventure', 'Hack and Slash', 'Villain Protagonist', 'Side Scroller', 'Difficult', 'Metroidvania', 'Action-Adventure', 'Story Rich', 'Fantasy', 'Early Access', 'Multiplayer']",20.0,"['Action', 'Indie', 'SouthPAW Games']",3.0,NEOWIZ,2021,11.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,Rolled Out!,272,2021-03-23,19.99,0,Very Positive,8.0,,"['Racing', 'Precision Platformer', '3D Platformer', 'Puzzle Platformer', 'Casual', 'Platformer', 'Arcade', '3D', 'Cute', 'Early Access', 'Third Person', 'Indie', 'Action', 'Cartoony', 'Colorful', 'Singleplayer']",16.0,"['Indie', 'Racing', 'Early Access', 'Polarbyte Games', 'Skymap Games']",5.0,Skymap Games,2021,10.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
294,Amnesia: Rebirth,4682,2020-10-20,29.99,1,Mostly Positive,7.0,7.0,"['Story Rich', 'Atmospheric', 'Horror', 'Adventure', 'Survival Horror', 'Mystery', 'Psychological Horror', 'First-Person', 'Walking Simulator', 'Singleplayer', 'Indie', 'Puzzle', 'Female Protagonist', 'Moddable', 'Lovecraftian', 'Dark', 'Exploration', 'Physics', 'Stealth', 'Action']",20.0,"['Adventure', 'Indie', 'Frictional Games']",3.0,Frictional Games,2020,7.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,Keep Talking and Nobody Explodes,9146,2015-10-08,14.99,0,Overwhelmingly Positive,9.0,26.0,"['Co-op', 'Puzzle', 'Local Co-Op', 'Multiplayer', 'VR', 'Indie', 'Difficult', 'Local Multiplayer', 'Team-Based', 'Family Friendly', 'First-Person', 'Fast-Paced', 'Funny', 'Simulation', 'Action', 'Asymmetric VR', 'Atmospheric', 'Strategy', 'Party Game', 'Party']",20.0,[],0.0,Steel Crate Games,2015,26.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
