,title,num_reviews,release_date,orig_price,been_sale,review_rating,rating_val,num_languages,tags,num_tags,genres,num_genres,publisher,year_released,languages_filled,top_pubs,BANDAI NAMCO Entertainment,Bethesda Softworks,Devolver Digital,Disney,Electronic Arts,Kagura Games,Nightdive Studios,Paradox Interactive,SEGA,Square Enix,THQ Nordic,Ubisoft,Xbox Game Studios,other,Singleplayer_tag,Indie_tag,Action_tag,Adventure_tag,Multiplayer_tag,Strategy_tag,RPG_tag,Casual_tag,Simulation_tag,Atmospheric_tag,Horror_tag,2D_tag,Soundtrack_tag,Great_tag,Story_tag,Rich_tag,World_tag,Shooter_tag,Puzzle_tag,TurnBased_tag,Open_tag,FirstPerson_tag,Survival_tag,Funny_tag,Coop_tag,Fantasy_tag,Early_tag,Access_tag,Platformer_tag,Local_tag,Singleplayer_genre,Indie_genre,Action_genre,Adventure_genre,Multiplayer_genre,Strategy_genre,RPG_genre,Casual_genre,Simulation_genre,Atmospheric_genre,Horror_genre,2D_genre,Soundtrack_genre,Great_genre,Story_genre,Rich_genre,World_genre,Shooter_genre,Puzzle_genre,TurnBased_genre,Open_genre,FirstPerson_genre,Survival_genre,Funny_genre,Coop_genre,Fantasy_genre,Early_genre,Access_genre,Platformer_genre,Local_genre
248,Rivals of Aether,18133,2017-03-28,29.99,0,Overwhelmingly Positive,9.0,,"['Fighting', '2D Fighter', 'Multiplayer', 'Pixel Graphics', 'Indie', 'Local Multiplayer', 'Competitive', 'Great Soundtrack', '2D', '4 Player Local', 'Platformer', 'Action', 'Games Workshop', 'Arcade', 'Controller', ""Beat 'em up"", 'Singleplayer', 'Early Access', 'Retro', 'GameMaker']",20.0,"['Indie', 'Dan Fornace']",2.0,Dan Fornace,2017,10.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,Parkitect,4718,2018-11-29,29.99,0,Very Positive,8.0,11.0,"['Casual', 'Management', 'Building', 'Economy', 'Moddable', 'Resource Management', 'City Builder', 'Isometric', 'Simulation', 'Multiplayer', 'Online Co-Op', 'Strategy', 'Sandbox', 'Colorful', 'Level Editor', 'Cute', 'Relaxing', 'Singleplayer', 'Cartoony', 'Family Friendly']",20.0,"['Casual', 'Indie', 'Simulation', 'Strategy']",4.0,Texel Raptor,2018,11.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,Killing Floor 2,100910,2016-11-18,29.99,0,Very Positive,8.0,12.0,"['Zombies', 'Co-op', 'Gore', 'FPS', 'Survival', 'Multiplayer', 'Action', 'Online Co-Op', 'Horror', 'Shooter', 'First-Person', 'Team-Based', 'Survival Horror', 'Great Soundtrack', 'Atmospheric', 'Difficult', 'Singleplayer', 'Early Access', 'Indie', 'Blood']",20.0,"['Action', 'Tripwire Interactive']",2.0,Tripwire Interactive,2016,12.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,This Land Is My Land,1774,2019-11-20,39.99,0,Mostly Positive,7.0,6.0,"['Open World Survival Craft', 'Survival', 'Open World', 'RPG', 'Simulation', 'Action', 'Crafting', 'Western', 'Indie', 'Multiplayer', 'Third Person', 'Early Access', 'Violent', 'Stealth', 'Sandbox', 'Historical', 'America', 'Singleplayer', 'First-Person', 'FPS']",20.0,"['Action', 'Indie', 'RPG', 'Simulation', 'Early Access']",5.0,Game-Labs,2019,6.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
252,STAR WARS Jedi: Fallen Order™,72683,2019-11-15,39.99,0,Very Positive,8.0,13.0,"['Action-Adventure', 'Third Person', 'Souls-like', 'Swordplay', 'Platformer', 'Open World', 'Exploration', 'Metroidvania', 'Story Rich', 'RPG', 'Fighting', 'Action', 'Sci-fi', 'Space', 'Fantasy', 'Puzzle', 'Hack and Slash', 'Atmospheric', 'Adventure', 'Family Friendly']",20.0,"['Action', 'Adventure', 'Respawn Entertainment']",3.0,Electronic Arts,2019,13.0,Electronic Arts,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,SURV1V3,652,2018-01-29,24.99,0,Very Positive,8.0,7.0,"['Action', 'Adventure', 'Indie', 'Simulation', 'VR', 'Zombies', 'Gore', 'Violent', 'Early Access', 'Co-op', 'Co-op Campaign', 'Online Co-Op']",12.0,[],0.0,Candymakers,2018,7.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,A Hat in Time,36385,2017-10-05,29.99,0,Overwhelmingly Positive,9.0,11.0,"['Cute', '3D Platformer', 'Collectathon', 'Great Soundtrack', 'Female Protagonist', 'Adventure', 'Indie', 'Platformer', 'Funny', 'Exploration', 'Colorful', 'Third Person', 'Singleplayer', 'Open World', 'Comedy', 'Co-op', 'Moddable', 'Family Friendly', 'Action', 'Kickstarter']",20.0,"['Adventure', 'Indie']",2.0,Gears for Breakfast,2017,11.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Rise of Nations: Extended Edition,9564,2014-06-12,19.99,1,Very Positive,8.0,,"['Strategy', 'RTS', 'Classic', 'Historical', 'Multiplayer', 'Simulation', 'War', 'Nostalgia', 'Great Soundtrack', 'Epic', 'Singleplayer', 'Real-Time', 'Co-op', 'Base Building', 'City Builder', 'Remake', 'Building', 'Atmospheric', 'Isometric', 'Action']",20.0,"['Simulation', 'Strategy', 'SkyBox Labs']",3.0,Xbox Game Studios,2014,10.0,Xbox Game Studios,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,Football Manager 2021,14866,2020-11-23,49.99,1,Very Positive,8.0,17.0,"['Sports', 'Simulation', 'Management', 'Singleplayer', 'Multiplayer', 'Soccer', 'Football', 'Strategy']",8.0,"['Simulation', 'Sports', 'Sports Interactive']",3.0,SEGA,2020,17.0,SEGA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,The Jackbox Party Pack,1388,2014-11-26,24.99,0,Very Positive,8.0,,"['Casual', 'Trivia', 'Party', 'Local Multiplayer', 'Funny', 'Indie', 'Strategy', 'Multiplayer', 'Comedy', 'Party Game', 'Board Game', 'Co-op', 'Family Friendly', '4 Player Local', 'Local Co-Op']",15.0,"['Casual', 'Indie', 'Strategy', 'Jackbox Games, Inc.']",4.0,"Jackbox Games, Inc.",2014,10.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Starbound,102771,2016-07-22,14.99,0,Very Positive,8.0,,"['Open World Survival Craft', 'Sandbox', 'Survival', 'Adventure', 'Space', 'Crafting', 'Online Co-Op', 'Relaxing', 'Pixel Graphics', 'Multiplayer', 'Open World', 'Exploration', 'Indie', 'Action', '2D', 'RPG', 'Atmospheric', 'Co-op', 'Building', 'Sci-fi']",20.0,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Chucklefish']",6.0,Chucklefish,2016,10.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,The Jackbox Party Pack 2,1411,2015-10-13,24.99,0,Overwhelmingly Positive,9.0,,"['Trivia', 'Local Multiplayer', 'Casual', 'Comedy', 'Indie', 'Strategy', 'Party', 'Funny', 'Local Co-Op', 'Multiplayer', 'Board Game', 'Party Game', 'Co-op', 'Family Friendly']",14.0,"['Casual', 'Indie', 'Strategy', 'Jackbox Games, Inc.']",4.0,"Jackbox Games, Inc.",2015,10.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,Aron's Adventure,73,2021-04-07,29.99,1,Mostly Positive,7.0,,"['Indie', 'Action', 'RPG', 'Adventure', 'Open World', 'Singleplayer', 'Action RPG', 'Fantasy', 'Action-Adventure', 'Platformer', 'Crafting', 'Story Rich', 'Dragons', 'Atmospheric', 'Zombies']",15.0,"['Action', 'Adventure', 'Indie', 'RPG', 'Tim van Kan', 'Tom Raudys']",6.0,TiMer Games,2021,10.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,War of Rights,5662,2018-12-03,29.99,0,Very Positive,8.0,,"['Historical', 'War', 'Action', 'Multiplayer', 'Simulation', 'Realistic', 'Military', 'Strategy', 'Early Access', 'First-Person', 'FPS', 'Shooter', 'Indie', 'Violent', 'Massively Multiplayer', 'America', 'Gore', 'Mature', 'Tactical', 'Singleplayer']",20.0,"['Action', 'Indie', 'Simulation', 'Strategy', 'Early Access']",5.0,Campfire Games,2018,10.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
262,Left 4 Dead,32633,2008-11-17,9.99,0,Overwhelmingly Positive,9.0,17.0,"['Zombies', 'Co-op', 'Multiplayer', 'FPS', 'Action', 'Shooter', 'Online Co-Op', 'Horror', 'Team-Based', 'Survival', 'First-Person', 'Post-apocalyptic', 'Singleplayer', 'Atmospheric', 'Adventure', 'Tactical', 'Moddable', 'Replay Value', 'Competitive', 'Female Protagonist']",20.0,['Action'],1.0,Valve,2008,17.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Trailmakers,7483,2019-09-18,24.99,0,Very Positive,8.0,13.0,"['Flight', 'PvP', 'Co-op', 'Exploration', 'Sandbox', 'Racing', 'Building', 'Driving', 'Moddable', 'Robots', 'Submarine', 'Physics', 'Space', 'Automobile Sim', 'LEGO', 'Open World', 'Vehicular Combat', 'Action', 'Simulation', 'Logic']",20.0,"['Action', 'Adventure', 'Indie', 'Racing', 'Simulation']",5.0,Flashbulb,2019,13.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,War on the Sea,878,2021-02-02,39.99,0,Mostly Positive,7.0,,"['Strategy', 'Simulation', 'World War II', 'Naval', 'Indie', 'Singleplayer', 'Naval Combat', 'War']",8.0,"['Simulation', 'Strategy']",2.0,Killerfish Games,2021,10.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,Oxygen Not Included,64248,2019-07-30,24.99,0,Overwhelmingly Positive,9.0,,"['Colony Sim', 'Base Building', 'Survival', 'Resource Management', 'Building', 'Singleplayer', 'Simulation', 'Management', 'Sandbox', '2D', 'Strategy', 'Space', 'Indie', 'Sci-fi', 'Exploration', 'Open World', 'Difficult', 'Early Access', 'Adventure', 'Space Sim']",20.0,"['Indie', 'Simulation', 'Klei Entertainment']",3.0,Klei Entertainment,2019,10.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,Fallout: New Vegas,124210,2010-10-19,9.99,0,Overwhelmingly Positive,9.0,,"['Open World', 'RPG', 'Post-apocalyptic', 'Singleplayer', 'Moddable', 'Exploration', 'First-Person', 'Action', 'Story Rich', 'Adventure', 'Sci-fi', 'FPS', 'Atmospheric', 'Western', 'Action RPG', 'Survival', 'Character Customization', 'Sandbox', 'Shooter', 'Third Person']",20.0,"['Action', 'RPG', 'Obsidian Entertainment']",3.0,Bethesda Softworks,2010,10.0,Bethesda Softworks,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Black Mesa,60268,2020-03-06,19.99,0,Overwhelmingly Positive,9.0,21.0,"['FPS', 'Action', 'Remake', 'Sci-fi', 'First-Person', 'Singleplayer', 'Shooter', 'Classic', 'Atmospheric', 'Story Rich', 'Great Soundtrack', 'Adventure', 'Aliens', 'Zombies', 'Horror', 'Multiplayer', 'Indie', 'Early Access', 'Mod', 'Co-op']",20.0,"['Action', 'Adventure', 'Indie']",3.0,Crowbar Collective,2020,21.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,DRAGON BALL FighterZ,37942,2018-01-26,59.99,0,Very Positive,8.0,13.0,"['Fighting', 'Anime', 'Action', '2D Fighter', 'Multiplayer', 'Competitive', 'Local Multiplayer', 'Controller', 'Great Soundtrack', '2.5D', 'Singleplayer', 'Arcade', 'eSports', 'Difficult', 'Fast-Paced', 'Story Rich', ""Beat 'em up"", 'Adventure', 'Dragons', 'Open World']",20.0,"['Action', 'Arc System Works']",2.0,BANDAI NAMCO Entertainment,2018,13.0,BANDAI NAMCO Entertainment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,Rising Storm 2: Vietnam,43520,2017-05-30,24.99,0,Very Positive,8.0,10.0,"['FPS', 'War', 'Realistic', 'Multiplayer', 'Military', 'Shooter', 'Tactical', 'Action', 'First-Person', 'Historical', 'Team-Based', 'Simulation', 'Gore', 'Atmospheric', 'Cold War', 'Massively Multiplayer', 'Violent', 'Strategy', 'Singleplayer', 'Indie']",20.0,"['Action', 'Massively Multiplayer', 'Simulation', 'Strategy', 'Antimatter Games', 'Tripwire Interactive']",6.0,Tripwire Interactive,2017,10.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,Escape the Ayuwoki,171,2019-11-26,5.99,0,Mostly Positive,7.0,,"['Violent', 'Gore', 'Adventure', 'Indie', 'Horror', 'Survival Horror', 'Mystery', 'Multiplayer']",8.0,"['Adventure', 'Indie', 'Deadlycrow Games']",3.0,Deadlycrow Games,2019,10.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,Medal of Honor™: Above and Beyond,1320,2020-12-10,59.99,0,Mixed,5.0,6.0,"['Action', 'Wargame', 'VR', 'First-Person', 'War', 'Singleplayer', 'World War II', 'Action-Adventure', 'Action Roguelike', 'Open World', 'Action RPG', 'Gore', 'Violent', 'Multiplayer', 'Historical']",15.0,[],0.0,Electronic Arts,2020,6.0,Electronic Arts,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,SPORE™ Creepy & Cute Parts Pack,1123,2008-12-19,19.99,1,Very Positive,8.0,15.0,"['Simulation', 'Singleplayer', 'Adventure', 'Open World', 'Funny', 'God Game', 'Sandbox', 'Strategy', 'Cute', 'Aliens', 'Character Customization', 'Sci-fi', 'Multiplayer', 'Space', 'Action', 'RPG', 'Family Friendly', 'Exploration']",18.0,['Simulation'],1.0,Electronic Arts,2008,15.0,Electronic Arts,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,Dragon Age™ Inquisition,4420,2020-06-04,39.99,0,Mostly Positive,7.0,9.0,"['RPG', 'Open World', 'Fantasy', 'Singleplayer', 'Story Rich', 'Character Customization', 'Action', 'Choices Matter', 'Strategy', 'Adventure', 'Female Protagonist', 'Sexual Content', 'Third Person', 'Great Soundtrack', 'Dragons', 'Action RPG', 'Atmospheric', 'Nudity', 'Combat', 'CRPG']",20.0,"['Action', 'RPG', 'Strategy', 'BioWare']",4.0,Electronic Arts,2020,9.0,Electronic Arts,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,PC Building Simulator,32171,2019-01-29,19.99,0,Very Positive,8.0,10.0,"['Simulation', 'Education', 'Immersive Sim', 'Building', 'Management', 'First-Person', 'Life Sim', 'Casual', 'Sandbox', '3D', 'Relaxing', 'Realistic', 'Funny', 'Puzzle', 'Singleplayer', 'Modern', 'Atmospheric', 'Inventory Management', 'Hardware', 'Great Soundtrack']",20.0,"['Indie', 'Simulation', 'Claudiu Kiss', 'The Irregular Corporation']",4.0,The Irregular Corporation,2019,10.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,Generation Zero®,18750,2019-03-26,24.99,0,Mostly Positive,7.0,9.0,"['Adventure', 'Action', 'Open World', 'Survival', 'Co-op', 'Multiplayer', 'Robots', 'FPS', 'Post-apocalyptic', 'Singleplayer', 'Online Co-Op', 'First-Person', '1980s', 'Sci-fi', 'Mechs', 'Stealth', 'Horror', 'Shooter', 'Atmospheric', 'Great Soundtrack']",20.0,"['Action', 'Adventure']",2.0,Systemic Reaction™,2019,9.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,TEKKEN 7,46538,2017-06-01,39.99,0,Very Positive,8.0,11.0,"['Fighting', 'Action', 'Multiplayer', 'Competitive', 'Arcade', 'Local Multiplayer', 'Sports', 'Great Soundtrack', 'Controller', 'Singleplayer', 'eSports', 'Character Customization', 'Difficult', '3D Fighter', 'Anime', 'Story Rich', ""Beat 'em up"", 'Nudity', 'Third Person', 'Sexual Content']",20.0,"['Action', 'Sports', 'BANDAI NAMCO Studios Inc.']",3.0,BANDAI NAMCO Entertainment,2017,11.0,BANDAI NAMCO Entertainment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,SPORE™ Galactic Adventures,4331,2009-06-23,19.99,1,Very Positive,8.0,15.0,"['Simulation', 'Action', 'Space', 'Adventure', 'Exploration', 'Open World', 'Singleplayer', 'Sandbox', 'Strategy', 'Sci-fi', 'Multiplayer', 'God Game', 'Funny', 'RPG', 'Comedy', 'Crafting', 'Atmospheric', 'Level Editor', 'Casual', 'Character Customization']",20.0,"['Action', 'Simulation']",2.0,Electronic Arts,2009,15.0,Electronic Arts,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,Spelunky 2,10956,2020-09-29,19.99,0,Very Positive,8.0,7.0,"['Platformer', 'Action Roguelike', '2D Platformer', 'Perma Death', 'Roguelite', 'Online Co-Op', 'Co-op', 'Indie', 'Replay Value', 'Difficult', 'Procedural Generation', '4 Player Local', 'PvP', 'Roguelike', 'Local Co-Op', 'Action', '2D', 'Side Scroller', 'Cute', 'Funny']",20.0,"['Action', 'Indie', 'Mossmouth']",3.0,Mossmouth,2020,7.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,Grim Dawn,63608,2016-02-25,24.99,0,Very Positive,8.0,13.0,"['Action RPG', 'Dark Fantasy', 'Hack and Slash', 'RPG', 'Loot', 'Dungeon Crawler', 'Dark', 'Co-op', 'Multiplayer', 'Singleplayer', 'Fantasy', 'Action', 'Adventure', 'Isometric', 'Atmospheric', 'Post-apocalyptic', 'Indie', 'Zombies', 'Kickstarter', 'Crowdfunded']",20.0,"['Action', 'Adventure', 'Indie', 'RPG']",4.0,Crate Entertainment,2016,13.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,BIGFOOT,6950,2017-01-31,15.99,0,Mostly Positive,7.0,14.0,"['Early Access', 'Horror', 'Multiplayer', 'Survival Horror', 'Co-op', 'Survival', 'Online Co-Op', 'Atmospheric', 'Open World', 'Action', 'Supernatural', 'Adventure', 'FPS', 'Psychological Horror', 'Singleplayer', 'Shooter', 'Hunting', 'First-Person', 'Funny', 'Multiple Endings']",20.0,"['Action', 'Adventure', 'Indie', 'Early Access']",4.0,CyberLight Game Studio,2017,14.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
281,Digimon Story Cyber Sleuth: Complete Edition,3712,2019-10-17,49.99,0,Very Positive,8.0,,"['JRPG', 'Creature Collector', 'Anime', 'Turn-Based', 'Visual Novel', 'Turn-Based Strategy', 'Turn-Based Combat', 'PvP', 'RPG', 'Strategy', 'Cute', 'Story Rich', 'Action', 'Cyberpunk', 'Fantasy', 'Sci-fi', 'Adventure', 'Detective', 'Multiplayer', 'Singleplayer']",20.0,"['RPG', 'h.a.n.d., Inc.']",2.0,BANDAI NAMCO Entertainment Inc.,2019,10.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Little Nightmares,29063,2017-04-27,19.99,0,Very Positive,8.0,13.0,"['Horror', 'Atmospheric', 'Adventure', 'Dark', 'Puzzle Platformer', 'Singleplayer', 'Puzzle', 'Indie', 'Story Rich', 'Stealth', 'Platformer', 'Psychological Horror', 'Great Soundtrack', 'Survival Horror', 'Third Person', 'Female Protagonist', '2.5D', 'Short', 'Strategy', 'Action']",20.0,"['Adventure', 'Tarsier Studios']",2.0,BANDAI NAMCO Entertainment,2017,13.0,BANDAI NAMCO Entertainment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
