,title,num_reviews,review_rating,num_languages,tags,num_tags,genres,num_genres,publisher
12968,DOA6 Seaside Eden Costume - Diego,,,10,"['Action', 'Gore', 'Violent', 'Nudity', 'Sexual Content']",5.0,['Action'],1.0,"KOEI TECMO GAMES CO., LTD."
12969,Call of Duty®: Ghosts - Rorke Special Character,,2 user reviews,,['Action'],1.0,['Action'],1.0,Activision
12970,ROUGH KUTS: Dementia 13,,1 user reviews,,"['Action', 'Adventure', 'Indie', 'Casual', 'Horror', 'Classic', 'FMV']",7.0,"['Action', 'Adventure', 'Casual', 'Indie']",4.0,ROUGH KUTS
12971,Choco Pixel S,,,29,"['Casual', '2D', 'Cute', 'Pixel Graphics', 'Indie', 'Colorful', 'Singleplayer', 'Retro', 'Short', 'Stylized', 'Replay Value', 'Family Friendly', 'Difficult', 'Old School', 'Relaxing', 'Puzzle', 'Classic', 'Fast-Paced', 'Top-Down', 'Abstract']",20.0,"['Casual', 'Indie', 'Blender Games']",3.0,Blender Games
12972,Digger Online,"18,242",Mostly Negative,,"['Story Rich', 'Action', 'Atmospheric', 'Realistic', 'Shooter', 'Survival', 'First-Person', 'Open World', 'Multiplayer', 'Family Friendly', 'Sandbox', 'Comedy', 'Building', 'Co-op', 'Zombies', 'Adventure', 'Simulation', 'RPG', 'Indie', 'Crafting']",20.0,"['Action', 'Adventure']",2.0,Дмитриев Максим Константинович
12973,Achievement Lurker: Respectable Accomplishment,73,Mostly Positive,,"['RPG', 'RPGMaker']",2.0,['RPG'],1.0,Perverse Games
12974,Call of Duty®: Ghosts - Heavy Metal Pack,,1 user reviews,,['Action'],1.0,['Action'],1.0,Activision
12975,Megadimension Neptunia VII Swimsuit Pack,,Positive,,"['Strategy', 'RPG']",2.0,"['RPG', 'Strategy', 'Idea Factory', 'Compile Heart']",4.0,Idea Factory International
12976,"Warhammer 40,000: Space Wolf - Exceptional Card Pack",,Mostly Positive,9,"['Strategy', 'Action', 'Card Game', 'Warhammer 40K', 'Aliens', 'RPG', 'War', 'Tactical', 'Turn-Based Strategy', 'Multiplayer', 'Sci-fi', 'Difficult', 'Atmospheric', 'Singleplayer', 'Games Workshop', 'Grid-Based Movement', 'Trading Card Game', 'Turn-Based Tactics', 'Futuristic', 'Board Game']",20.0,"['Action', 'Strategy', 'HeroCraft PC']",3.0,HeroCraft PC
12977,Terrorhedron Tower Defense,"1,140",Very Positive,,"['Tower Defense', 'Indie', 'Strategy', 'Casual', 'Great Soundtrack', 'Online Co-Op', 'Multiplayer', 'Co-op']",8.0,"['Casual', 'Indie', 'Strategy']",3.0,Dan Walters
12978,Hyperdimension Neptunia Re;Birth2 Uzume Battle Entry,,2 user reviews,,"['Strategy', 'RPG']",2.0,"['RPG', 'Strategy', 'Idea Factory', 'Compile Heart', 'Felistella', 'Idea Factory International']",6.0,Idea Factory International
12979,迷雾之夏The Vigilant Villa-陈默 佟梦 何陆洋 番外,,3 user reviews,,"['Adventure', 'RPG', 'Indie', 'Casual', 'Word Game', 'Mystery', 'Story Rich', 'Visual Novel']",8.0,"['Adventure', 'Casual', 'Indie', 'RPG']",4.0,游艺春秋
12980,迷雾之夏The Vigilant Villa-方时 莫朵 刘志宏番外,,7 user reviews,,"['Adventure', 'RPG', 'Casual', 'Indie', 'Word Game', 'Anime', 'Interactive Fiction', 'Text-Based', 'Logic', 'Visual Novel']",10.0,"['Adventure', 'Casual', 'Indie', 'RPG']",4.0,游艺春秋
12981,Light Aurora Pack,,Mixed,8,['RPG'],1.0,['RPG'],1.0,Ubisoft
12982,DRAGON BALL Z: KAKAROT - Tao Pai Pai Pillar,,Mostly Negative,15,"['Action', 'RPG']",2.0,"['Action', 'RPG', 'CyberConnect2 Co. Ltd.', 'BANDAI NAMCO Entertainment']",4.0,BANDAI NAMCO Entertainment
12983,Almost There: The Platformer,,Very Positive,23,"['Indie', 'Action', 'Casual', 'Strategy', 'Platformer', 'Unforgiving', 'Parkour', 'Replay Value', 'Difficult', 'Addictive', 'Cartoon', 'Singleplayer', 'Cartoony', '2D', 'Fast-Paced', 'Great Soundtrack', 'Controller', 'Silent Protagonist', 'Minimalist', 'Atmospheric']",20.0,"['Action', 'Casual', 'Indie', 'Strategy', 'Bony Yousuf']",5.0,The Quantum Astrophysicists Guild
12984,История бомжа,,Positive,,"['Adventure', 'Arcade', 'Experimental', 'Character Action Game', '3D Fighter', 'Spectacle fighter', 'Souls-like', '3D', '3D Vision', 'Survival', 'Story Rich', 'Loot', 'Comedy', 'Martial Arts', 'PvE', 'Artificial Intelligence', 'Perma Death', 'Singleplayer', 'Indie']",19.0,"['Adventure', 'Indie']",2.0,Quarlellle
12985,WoozyHero 乌贼英雄-欢乐联机版,,Positive,,"['Action', 'Casual', 'Indie', 'Strategy']",4.0,"['Action', 'Casual', 'Indie']",3.0,PhyzixMind
12986,RITE Original Soundtrack,,2 user reviews,,"['Action', 'Adventure', 'Indie', 'Casual', 'Platformer', 'Great Soundtrack', '2D', 'Precision Platformer', 'Old School', 'Pixel Graphics', 'Retro', 'Difficult', 'Action-Adventure', 'Singleplayer', 'Colorful', '2D Platformer', 'Soundtrack', 'Underground']",18.0,"['Action', 'Adventure', 'Casual', 'Indie']",4.0,Pond Games Pty Ltd
12987,Hidden Through Time - Legends of Japan,,9 user reviews,14,"['Casual', 'Hidden Object', 'Puzzle', '2D', 'Cartoon', 'Hand-drawn', 'Funny', 'Relaxing']",8.0,[],0.0,Rogueside
12988,Choco Pixel D,,,29,"['Indie', 'Casual', 'Fast-Paced', 'Relaxing', 'Puzzle', 'Classic', '2D', 'Old School', 'Pixel Graphics', 'Retro', 'Difficult', 'Singleplayer', 'Short', 'Stylized', 'Colorful', 'Abstract', 'Replay Value', 'Cute', 'Top-Down', 'Family Friendly']",20.0,"['Casual', 'Indie', 'Blender Games']",3.0,Blender Games
12989,Feast Your Eyes - Official Soundtrack & Other Goodies,,,,"['Adventure', 'Indie', 'Gore', 'Violent', 'Music', 'Horror', 'Psychedelic', 'Psychological Horror', 'Exploration', 'Survival Horror', 'Atmospheric', 'Psychological', 'Mystery', 'Walking Simulator', 'Investigation', 'Experimental', '2.5D']",17.0,"['Adventure', 'Indie', 'Yai Gameworks']",3.0,Yai Gameworks
12990,"I, Zombie",,Very Positive,10,"['Stealth', 'Top-Down', 'Puzzle', 'Level Editor', 'Cute', 'Casual', 'Villain Protagonist', 'Indie', 'Strategy', 'Arcade', 'Survival', '2D', 'Singleplayer', 'Action', 'Funny', 'Short', 'Zombies', 'Sandbox', 'Cartoony', 'Massively Multiplayer']",20.0,"['Casual', 'Indie', 'Strategy', 'Awesome Games Studio']",4.0,Awesome Games Studio
12991,aMAZE Gears 3,,1 user reviews,,"['Casual', 'Indie', 'Time Attack', 'Puzzle', 'Fast-Paced', 'Side Scroller', '2D', 'Singleplayer', 'Short', 'Family Friendly', 'Replay Value', 'Abstract', 'Stylized', 'Old School', 'Classic', 'Retro', 'Relaxing', 'Colorful', 'Difficult', 'Atmospheric']",20.0,"['Casual', 'Indie', 'Blender Games']",3.0,Blender Games
12992,Steamulator 2019,18,Mixed,,"['Collectathon', 'Management', 'Capitalism', 'Game Development', 'Card Game', '2D', 'Funny', 'Parody', 'Story Rich', 'Choices Matter', 'Simulation', 'Abstract', 'Cartoony', 'Hand-drawn', 'Minimalist', 'Comedy', 'Memes', 'Satire', 'Singleplayer', 'Casual']",20.0,['Simulation'],1.0,Mutant Entertainment Studios
12993,ANIME Street Fight,,5 user reviews,,"['Action', 'Adventure', 'Casual', 'Action-Adventure', 'Arcade', 'Indie', 'Sexual Content', ""Beat 'em up"", '3D', 'Gore', 'Violent', 'Nudity', 'Futuristic', 'Combat', 'Singleplayer', 'Sci-fi', 'Anime', 'Fighting', 'Boxing', 'NSFW']",20.0,"['Action', 'Adventure', 'Casual', 'Indie', 'Seito Games']",5.0,Seito Games
12994,DOA6 Seaside Eden Costume - Jann Lee,,,10,"['Action', 'Gore', 'Violent', 'Nudity', 'Sexual Content']",5.0,['Action'],1.0,"KOEI TECMO GAMES CO., LTD."
12995,Bad Meme,,5 user reviews,,"['Action', 'Runner', 'Memes', 'Arcade', 'Side Scroller']",5.0,['Action'],1.0,Homph LLC
12996,Hidden Through Time - Viking Tales,,Positive,14,"['Casual', 'Adventure', 'Indie', 'Puzzle', 'Point & Click', '2D', 'Funny', 'Singleplayer', 'Cute', 'Family Friendly', 'Hand-drawn']",11.0,"['Adventure', 'Casual', 'Indie']",3.0,Rogueside
12997,3D Math - Ultra,68,Very Positive,9,"['Indie', 'Casual', 'Simulation', 'Sports', 'Strategy', 'Logic', 'Software', 'Tutorial', 'Experimental', 'Touch-Friendly', 'Puzzle', 'Competitive', 'Difficult', 'Singleplayer', 'Chess', 'Education']",16.0,"['Casual', 'Indie', 'Simulation', 'Sports', 'Strategy']",5.0,Big Mind Games 9000
